driverId,week,hours-logged,miles-logged
85,35,54,3800
74,46,65,800
38,45,50,1200
12,10,71,3400
14,39,77,1700
88,34,64,400
61,35,78,3100
109,23,62,4000
10,12,79,0
33,8,66,500
55,48,64,1500
67,35,51,1900
82,28,50,1200
83,12,74,2200
93,10,67,100
61,7,62,1400
31,16,66,2300
59,29,67,2000
105,7,75,600
12,11,62,3300
14,47,58,1600
99,38,80,2400
96,11,71,200
65,44,61,1300
89,30,63,3400
14,23,55,200
103,50,52,1800
95,27,63,2900
53,45,50,700
55,52,62,1200
82,11,51,1400
90,28,66,3400
47,42,53,300
34,25,58,2000
60,41,59,1400
94,41,71,100
37,7,68,3900
68,4,77,2200
17,3,76,1500
66,16,65,2500
101,29,70,2000
75,44,52,1800
97,37,57,1500
98,11,73,1000
75,29,51,1300
58,50,80,0
100,1,74,3700
76,39,79,2000
70,24,79,3400
61,31,77,2000
67,47,76,2000
93,18,79,2100
89,2,52,2800
45,19,66,1800
66,46,62,2100
19,27,63,900
23,33,58,2900
74,3,56,0
73,21,80,1800
108,31,59,1000
11,33,53,1700
105,39,74,1500
18,45,69,1100
69,50,51,3200
43,7,57,3200
64,19,66,3900
90,14,52,3700
23,18,60,1600
91,36,70,3400
64,51,62,1800
41,26,55,1900
16,13,63,3500
89,14,56,3400
33,41,68,1600
87,46,70,2800
46,38,68,1100
33,48,50,3300
37,35,51,2800
88,30,76,4000
99,29,53,1900
83,36,53,2100
102,49,57,1100
74,41,51,1700
18,43,65,4000
14,1,52,800
10,37,68,2500
13,5,57,2100
34,52,73,2900
84,47,58,3000
41,46,62,2400
41,49,67,3200
83,27,72,3000
85,16,77,3200
98,41,57,800
47,45,71,3200
74,28,65,2500
21,30,54,2500
31,16,72,3000
85,34,52,100
42,1,56,3000
69,45,65,500
76,16,52,2400
89,32,63,2200
68,12,54,3700
94,52,75,2100
20,8,58,100
83,19,50,400
108,24,51,1500
48,26,80,2100
92,5,60,3300
103,24,70,900
96,35,70,3700
12,34,57,2300
69,21,53,900
20,12,78,2900
63,35,75,700
77,47,70,200
80,52,54,2600
14,10,78,3200
89,7,68,2300
58,42,66,200
72,35,73,2000
16,32,60,0
91,4,78,3500
75,6,76,3700
46,42,67,400
31,47,60,3200
15,47,77,900
105,34,63,2400
67,51,68,1400
89,36,56,3900
68,30,72,600
79,33,50,700
57,45,60,3500
104,27,67,0
48,30,63,2900
59,9,53,1200
15,48,54,1100
91,42,71,1000
32,27,71,1000
71,8,53,3000
57,10,67,1800
77,22,53,400
28,52,68,3500
72,15,50,3700
60,27,55,900
21,37,60,2600
46,12,61,1000
41,20,50,2500
82,46,66,1500
48,42,58,1900
42,51,65,2600
87,14,57,3600
24,42,66,1100
14,10,51,2200
104,50,74,0
33,10,56,100
67,39,78,800
45,8,78,2500
45,15,74,3200
101,30,51,1400
55,12,69,3900
91,10,80,1800
26,41,53,500
89,42,69,2800
106,3,74,3200
65,41,52,2000
59,11,63,2200
39,9,51,2500
77,45,58,2100
92,21,55,2900
72,16,52,3600
40,48,51,1700
77,42,50,300
72,8,57,1500
64,35,69,1200
40,50,58,200
76,10,68,2100
47,51,55,4000
59,23,79,2800
93,38,77,100
73,31,61,900
18,29,51,1700
64,26,78,2700
29,9,75,3000
68,34,62,1800
101,5,55,1000
106,34,51,3600
61,43,80,1000
60,52,64,3700
12,47,61,2700
25,49,72,1000
44,36,73,3900
61,23,69,2300
59,16,62,2300
20,12,64,1300
69,42,53,3000
48,41,78,2600
64,52,74,1100
86,11,72,3600
39,42,52,4000
62,44,70,1500
43,30,71,2800
103,51,65,700
36,15,65,2000
108,28,62,2400
44,51,52,1200
83,9,54,1800
35,21,70,3600
84,33,70,200
24,37,67,0
54,32,75,2900
75,8,67,1700
84,28,70,1800
100,21,52,3200
31,51,68,2400
108,39,63,2000
52,47,78,4000
106,28,80,2000
45,20,68,2600
100,2,69,1700
81,42,65,1900
57,48,60,2000
75,38,77,4000
109,25,71,2800
52,21,77,2600
94,21,57,3300
78,33,56,1700
50,45,63,1700
25,17,76,1200
90,24,70,1100
38,11,73,1700
82,4,71,3100
72,44,79,3700
37,45,56,2900
87,47,50,1900
94,41,55,1300
21,40,52,3800
57,48,77,200
22,1,74,2700
42,11,64,2200
84,36,60,2200
31,13,63,3700
48,27,57,500
51,23,59,200
27,27,62,2100
106,8,62,2000
13,41,53,3000
93,14,76,3300
15,16,52,3600
31,28,54,2300
53,15,79,1600
37,20,77,800
100,2,55,3300
51,40,61,1100
10,20,68,1300
82,41,75,3700
73,45,79,2200
75,38,71,900
10,17,59,2600
96,28,74,3900
45,47,53,0
97,17,70,2200
107,31,79,2900
55,14,60,2800
60,12,67,2400
64,34,57,3200
25,13,53,1800
78,49,70,2400
12,38,61,3300
26,46,56,700
84,4,79,400
101,9,69,500
35,5,79,1200
24,41,75,2300
15,1,51,2900
56,22,63,3400
21,11,69,3400
82,22,69,2800
98,51,78,2400
49,40,52,2700
27,14,59,2300
75,43,67,2400
78,24,51,3100
55,24,53,700
35,6,79,2400
98,13,64,100
73,46,71,2800
50,40,55,3900
86,43,62,2000
68,8,56,3300
80,10,63,1600
26,35,76,500
104,7,77,3200
38,50,70,2300
23,30,71,900
84,48,76,3200
76,27,72,4000
25,41,67,3900
75,43,51,2200
27,43,72,3900
14,24,66,1700
23,9,70,3700
61,52,52,1000
93,10,67,0
18,6,62,3300
27,38,67,2900
49,41,69,2400
64,43,57,1800
70,20,54,1100
34,17,75,2500
15,49,54,700
10,12,50,300
34,30,53,100
82,7,51,2000
70,1,57,600
39,35,67,3500
81,11,50,3800
103,15,77,1800
66,28,71,3800
31,2,75,3900
81,17,78,2500
56,23,80,3500
88,13,78,700
108,33,79,600
90,20,61,900
97,52,58,1900
101,4,62,100
